USN,Email,Password,Department,Semester
01FE25BCS041,01fe25bcs041@studyverse.edu,Welcome@123,CSE,3
01FE25BCS042,01fe25bcs042@studyverse.edu,Welcome@123,CSE,3
01FE25BCS043,01fe25bcs043@studyverse.edu,Welcome@123,CSE,3
01FE25BCS044,01fe25bcs044@studyverse.edu,Welcome@123,CSE,3
01FE25BCS045,01fe25bcs045@studyverse.edu,Welcome@123,CSE,3
01FE25BCS046,01fe25bcs046@studyverse.edu,Welcome@123,CSE,3
01FE25BCS047,01fe25bcs047@studyverse.edu,Welcome@123,CSE,3
01FE25BCS048,01fe25bcs048@studyverse.edu,Welcome@123,CSE,3
01FE25BCS049,01fe25bcs049@studyverse.edu,Welcome@123,CSE,3
01FE25BCS050,01fe25bcs050@studyverse.edu,Welcome@123,CSE,3
01FE25BCS051,01fe25bcs051@studyverse.edu,Welcome@123,CSE,3
01FE25BCS052,01fe25bcs052@studyverse.edu,Welcome@123,CSE,3
01FE25BCS053,01fe25bcs053@studyverse.edu,Welcome@123,CSE,3
01FE25BCS054,01fe25bcs054@studyverse.edu,Welcome@123,CSE,3
01FE25BCS055,01fe25bcs055@studyverse.edu,Welcome@123,CSE,3
01FE25BCS056,01fe25bcs056@studyverse.edu,Welcome@123,CSE,3
01FE25BCS057,01fe25bcs057@studyverse.edu,Welcome@123,CSE,3
01FE25BCS058,01fe25bcs058@studyverse.edu,Welcome@123,CSE,3
01FE25BCS059,01fe25bcs059@studyverse.edu,Welcome@123,CSE,3
01FE25BCS060,01fe25bcs060@studyverse.edu,Welcome@123,CSE,3
01FE25BCS061,01fe25bcs061@studyverse.edu,Welcome@123,CSE,3
01FE25BCS062,01fe25bcs062@studyverse.edu,Welcome@123,CSE,3
01FE25BCS063,01fe25bcs063@studyverse.edu,Welcome@123,CSE,3
01FE25BCS064,01fe25bcs064@studyverse.edu,Welcome@123,CSE,3
01FE25BCS065,01fe25bcs065@studyverse.edu,Welcome@123,CSE,3
01FE25BCS066,01fe25bcs066@studyverse.edu,Welcome@123,CSE,3
01FE25BCS067,01fe25bcs067@studyverse.edu,Welcome@123,CSE,3
01FE25BCS068,01fe25bcs068@studyverse.edu,Welcome@123,CSE,3
01FE25BCS069,01fe25bcs069@studyverse.edu,Welcome@123,CSE,3
01FE25BCS070,01fe25bcs070@studyverse.edu,Welcome@123,CSE,3
01FE25BCS071,01fe25bcs071@studyverse.edu,Welcome@123,CSE,3
01FE25BCS072,01fe25bcs072@studyverse.edu,Welcome@123,CSE,3
01FE25BCS073,01fe25bcs073@studyverse.edu,Welcome@123,CSE,3
01FE25BCS074,01fe25bcs074@studyverse.edu,Welcome@123,CSE,3
01FE25BCS075,01fe25bcs075@studyverse.edu,Welcome@123,CSE,3
01FE25BCS076,01fe25bcs076@studyverse.edu,Welcome@123,CSE,4
01FE25BCS077,01fe25bcs077@studyverse.edu,Welcome@123,CSE,4
01FE25BCS078,01fe25bcs078@studyverse.edu,Welcome@123,CSE,4
01FE25BCS079,01fe25bcs079@studyverse.edu,Welcome@123,CSE,4
01FE25BCS080,01fe25bcs080@studyverse.edu,Welcome@123,CSE,4
01FE25BCS081,01fe25bcs081@studyverse.edu,Welcome@123,CSE,4
01FE25BCS082,01fe25bcs082@studyverse.edu,Welcome@123,CSE,4
01FE25BCS083,01fe25bcs083@studyverse.edu,Welcome@123,CSE,4
01FE25BCS084,01fe25bcs084@studyverse.edu,Welcome@123,CSE,4
01FE25BCS085,01fe25bcs085@studyverse.edu,Welcome@123,CSE,4
01FE25BCS086,01fe25bcs086@studyverse.edu,Welcome@123,CSE,4
01FE25BCS087,01fe25bcs087@studyverse.edu,Welcome@123,CSE,4
01FE25BCS088,01fe25bcs088@studyverse.edu,Welcome@123,CSE,4
01FE25BCS089,01fe25bcs089@studyverse.edu,Welcome@123,CSE,4
01FE25BCS090,01fe25bcs090@studyverse.edu,Welcome@123,CSE,4
01FE25BCS091,01fe25bcs091@studyverse.edu,Welcome@123,CSE,4
01FE25BCS092,01fe25bcs092@studyverse.edu,Welcome@123,CSE,4
01FE25BCS093,01fe25bcs093@studyverse.edu,Welcome@123,CSE,4
01FE25BCS094,01fe25bcs094@studyverse.edu,Welcome@123,CSE,4
01FE25BCS095,01fe25bcs095@studyverse.edu,Welcome@123,CSE,4
01FE25BCS096,01fe25bcs096@studyverse.edu,Welcome@123,CSE,4
01FE25BCS097,01fe25bcs097@studyverse.edu,Welcome@123,CSE,4
01FE25BCS098,01fe25bcs098@studyverse.edu,Welcome@123,CSE,4
01FE25BCS099,01fe25bcs099@studyverse.edu,Welcome@123,CSE,4
01FE25BCS100,01fe25bcs100@studyverse.edu,Welcome@123,CSE,4
01FE25BCS101,01fe25bcs101@studyverse.edu,Welcome@123,CSE,4
01FE25BCS102,01fe25bcs102@studyverse.edu,Welcome@123,CSE,4
01FE25BCS103,01fe25bcs103@studyverse.edu,Welcome@123,CSE,4
01FE25BCS104,01fe25bcs104@studyverse.edu,Welcome@123,CSE,4
01FE25BCS105,01fe25bcs105@studyverse.edu,Welcome@123,CSE,4
01FE25BCS106,01fe25bcs106@studyverse.edu,Welcome@123,CSE,4
01FE25BCS107,01fe25bcs107@studyverse.edu,Welcome@123,CSE,4
01FE25BCS108,01fe25bcs108@studyverse.edu,Welcome@123,CSE,4
01FE25BCS109,01fe25bcs109@studyverse.edu,Welcome@123,CSE,4
01FE25BCS110,01fe25bcs110@studyverse.edu,Welcome@123,CSE,4
01FE25BCS111,01fe25bcs111@studyverse.edu,Welcome@123,CSE,4
01FE25BCS112,01fe25bcs112@studyverse.edu,Welcome@123,CSE,4
01FE25BCS113,01fe25bcs113@studyverse.edu,Welcome@123,CSE,4
01FE25BCS114,01fe25bcs114@studyverse.edu,Welcome@123,CSE,4
01FE25BCS115,01fe25bcs115@studyverse.edu,Welcome@123,CSE,4
01FE25BCS116,01fe25bcs116@studyverse.edu,Welcome@123,CSE,4
01FE25BCS117,01fe25bcs117@studyverse.edu,Welcome@123,CSE,4
01FE25BCS118,01fe25bcs118@studyverse.edu,Welcome@123,CSE,4
01FE25BCS119,01fe25bcs119@studyverse.edu,Welcome@123,CSE,4
01FE25BCS120,01fe25bcs120@studyverse.edu,Welcome@123,CSE,4
01FE25BCS121,01fe25bcs121@studyverse.edu,Welcome@123,CSE,4
01FE25BCS122,01fe25bcs122@studyverse.edu,Welcome@123,CSE,4
01FE25BCS123,01fe25bcs123@studyverse.edu,Welcome@123,CSE,4
01FE25BCS124,01fe25bcs124@studyverse.edu,Welcome@123,CSE,4
01FE25BCS125,01fe25bcs125@studyverse.edu,Welcome@123,CSE,4
01FE25BCS126,01fe25bcs126@studyverse.edu,Welcome@123,CSE,4
01FE25BCS127,01fe25bcs127@studyverse.edu,Welcome@123,CSE,4
01FE25BCS128,01fe25bcs128@studyverse.edu,Welcome@123,CSE,4
01FE25BCS129,01fe25bcs129@studyverse.edu,Welcome@123,CSE,4
01FE25BCS130,01fe25bcs130@studyverse.edu,Welcome@123,CSE,4
01FE25BCS131,01fe25bcs131@studyverse.edu,Welcome@123,CSE,4
01FE25BCS132,01fe25bcs132@studyverse.edu,Welcome@123,CSE,4
01FE25BCS133,01fe25bcs133@studyverse.edu,Welcome@123,CSE,4
01FE25BCS134,01fe25bcs134@studyverse.edu,Welcome@123,CSE,4
01FE25BCS135,01fe25bcs135@studyverse.edu,Welcome@123,CSE,4
01FE25BCS136,01fe25bcs136@studyverse.edu,Welcome@123,CSE,4
01FE25BCS137,01fe25bcs137@studyverse.edu,Welcome@123,CSE,4
01FE25BCS138,01fe25bcs138@studyverse.edu,Welcome@123,CSE,4
01FE25BCS139,01fe25bcs139@studyverse.edu,Welcome@123,CSE,4
01FE25BCS140,01fe25bcs140@studyverse.edu,Welcome@123,CSE,4
01FE25BCS141,01fe25bcs141@studyverse.edu,Welcome@123,CSE,4
01FE25BCS142,01fe25bcs142@studyverse.edu,Welcome@123,CSE,4
01FE25BCS143,01fe25bcs143@studyverse.edu,Welcome@123,CSE,4
01FE25BCS144,01fe25bcs144@studyverse.edu,Welcome@123,CSE,4
01FE25BCS145,01fe25bcs145@studyverse.edu,Welcome@123,CSE,4
01FE25BCS146,01fe25bcs146@studyverse.edu,Welcome@123,CSE,4
01FE25BCS147,01fe25bcs147@studyverse.edu,Welcome@123,CSE,4
01FE25BCS148,01fe25bcs148@studyverse.edu,Welcome@123,CSE,4
01FE25BCS149,01fe25bcs149@studyverse.edu,Welcome@123,CSE,4
01FE25BCS150,01fe25bcs150@studyverse.edu,Welcome@123,CSE,4
